session_id,person_id,source,label,audio_file,start_time,end_time,split
session_cough_0001,P_FORMAL_001,data/formal_audio_50/cough_0001.wav,cough,data/formal_audio_50/cough_0001.wav,0.0,9.78,train
session_cough_0002,P_FORMAL_002,data/formal_audio_50/cough_0002.wav,cough,data/formal_audio_50/cough_0002.wav,0.0,4.5,train
session_cough_0003,P_FORMAL_003,data/formal_audio_50/cough_0003.wav,cough,data/formal_audio_50/cough_0003.wav,0.0,9.84,train
session_cough_0004,P_FORMAL_004,data/formal_audio_50/cough_0004.wav,cough,data/formal_audio_50/cough_0004.wav,0.0,7.26,train
session_cough_0005,P_FORMAL_005,data/formal_audio_50/cough_0005.wav,cough,data/formal_audio_50/cough_0005.wav,0.0,9.78,train
session_cough_0006,P_FORMAL_006,data/formal_audio_50/cough_0006.wav,cough,data/formal_audio_50/cough_0006.wav,0.0,9.84,train
session_cough_0007,P_FORMAL_007,data/formal_audio_50/cough_0007.wav,cough,data/formal_audio_50/cough_0007.wav,0.0,9.84,train
session_cough_0008,P_FORMAL_008,data/formal_audio_50/cough_0008.wav,cough,data/formal_audio_50/cough_0008.wav,0.0,7.5,train
session_cough_0009,P_FORMAL_009,data/formal_audio_50/cough_0009.wav,cough,data/formal_audio_50/cough_0009.wav,0.0,9.9,train
session_cough_0010,P_FORMAL_010,data/formal_audio_50/cough_0010.wav,cough,data/formal_audio_50/cough_0010.wav,0.0,1.44,train
session_cough_0011,P_FORMAL_011,data/formal_audio_50/cough_0011.wav,cough,data/formal_audio_50/cough_0011.wav,0.0,9.9,train
session_cough_0012,P_FORMAL_012,data/formal_audio_50/cough_0012.wav,cough,data/formal_audio_50/cough_0012.wav,0.0,4.26,train
session_cough_0013,P_FORMAL_013,data/formal_audio_50/cough_0013.wav,cough,data/formal_audio_50/cough_0013.wav,0.0,9.96,train
session_cough_0014,P_FORMAL_014,data/formal_audio_50/cough_0014.wav,cough,data/formal_audio_50/cough_0014.wav,0.0,9.78,train
session_cough_0015,P_FORMAL_015,data/formal_audio_50/cough_0015.wav,cough,data/formal_audio_50/cough_0015.wav,0.0,9.6,train
session_cough_0016,P_FORMAL_016,data/formal_audio_50/cough_0016.wav,cough,data/formal_audio_50/cough_0016.wav,0.0,9.96,train
session_cough_0017,P_FORMAL_017,data/formal_audio_50/cough_0017.wav,cough,data/formal_audio_50/cough_0017.wav,0.0,9.84,train
session_cough_0018,P_FORMAL_018,data/formal_audio_50/cough_0018.wav,cough,data/formal_audio_50/cough_0018.wav,0.0,9.9,train
session_cough_0019,P_FORMAL_019,data/formal_audio_50/cough_0019.wav,cough,data/formal_audio_50/cough_0019.wav,0.0,9.984,val
session_cough_0020,P_FORMAL_020,data/formal_audio_50/cough_0020.wav,cough,data/formal_audio_50/cough_0020.wav,0.0,7.92,val
session_cough_0021,P_FORMAL_021,data/formal_audio_50/cough_0021.wav,cough,data/formal_audio_50/cough_0021.wav,0.0,5.370687,val
session_cough_0022,P_FORMAL_022,data/formal_audio_50/cough_0022.wav,cough,data/formal_audio_50/cough_0022.wav,0.0,9.66,val
session_cough_0023,P_FORMAL_023,data/formal_audio_50/cough_0023.wav,cough,data/formal_audio_50/cough_0023.wav,0.0,6.48,test
session_cough_0024,P_FORMAL_024,data/formal_audio_50/cough_0024.wav,cough,data/formal_audio_50/cough_0024.wav,0.0,1.0,test
session_cough_0025,P_FORMAL_025,data/formal_audio_50/cough_0025.wav,cough,data/formal_audio_50/cough_0025.wav,0.0,9.78,test
session_non_cough_0001,P_FORMAL_026,data/formal_audio_50/non_cough_0001.wav,non_cough,data/formal_audio_50/non_cough_0001.wav,0.0,18.553062,train
session_non_cough_0002,P_FORMAL_027,data/formal_audio_50/non_cough_0002.wav,non_cough,data/formal_audio_50/non_cough_0002.wav,0.0,8.247438,train
session_non_cough_0003,P_FORMAL_028,data/formal_audio_50/non_cough_0003.wav,non_cough,data/formal_audio_50/non_cough_0003.wav,0.0,9.422937,train
session_non_cough_0004,P_FORMAL_029,data/formal_audio_50/non_cough_0004.wav,non_cough,data/formal_audio_50/non_cough_0004.wav,0.0,18.170313,train
